iter	Passed	Remaining
1077	10421	1179
1078	10428	1169
1079	10435	1159
1080	10442	1149
1081	10449	1139
1082	10457	1129
1083	10465	1119
1084	10472	1110
1085	10479	1100
1086	10487	1090
1087	10493	1080
1088	10500	1070
1089	10509	1060
1090	10516	1050
1091	10524	1040
1092	10532	1031
1093	10539	1021
1094	10545	1011
1095	10552	1001
1096	10560	991
1097	10567	981
1098	10574	971
1099	10582	962
1100	10590	952
1101	10598	942
1102	10605	932
1103	10612	922
1104	10620	913
1105	10627	903
1106	10633	893
1107	10638	883
1108	10646	873
1109	10653	863
1110	10660	854
1111	10666	844
1112	10673	834
1113	10682	824
1114	10689	814
1115	10695	805
1116	10703	795
1117	10710	785
1118	10717	775
1119	10726	766
1120	10733	756
1121	10741	746
1122	10748	736
1123	10756	727
1124	10763	717
1125	10771	707
1126	10779	698
1127	10786	688
1128	10793	678
1129	10801	669
1130	10807	659
1131	10813	649
1132	10820	639
1133	10827	630
1134	10834	620
1135	10841	610
1136	10849	601
1137	10857	591
1138	10868	582
1139	10877	572
1140	10886	562
1141	10894	553
1142	10903	543
1143	10910	534
1144	10917	524
1145	10925	514
1146	10933	505
1147	10941	495
1148	10948	485
1149	10955	476
1150	10963	466
1151	10970	457
1152	10978	447
1153	10987	437
1154	10993	428
1155	11001	418
1156	11010	409
1157	11017	399
1158	11024	390
1159	11032	380
1160	11040	370
1161	11045	361
1162	11053	351
1163	11060	342
1164	11068	332
1165	11077	323
1166	11084	313
1167	11091	303
1168	11098	294
1169	11106	284
1170	11113	275
1171	11122	265
1172	11130	256
1173	11136	246
1174	11143	237
1175	11152	227
1176	11160	218
1177	11167	208
1178	11178	199
1179	11187	189
1180	11195	180
1181	11202	170
1182	11212	161
1183	11221	151
1184	11230	142
1185	11238	132
1186	11245	123
1187	11258	113
1188	11266	104
1189	11275	94
1190	11286	85
1191	11294	75
1192	11306	66
1193	11316	56
1194	11329	47
1195	11338	37
1196	11348	28
1197	11357	18
1198	11364	9
1199	11373	0
