iter	Logloss
0	0.686475957
1	0.6805255756
2	0.6745681013
3	0.6683877319
4	0.6629451509
5	0.6589725297
6	0.6529032443
7	0.6485558632
8	0.644807163
9	0.6405097663
10	0.6367578108
11	0.6328900868
12	0.6297966262
13	0.6269102734
14	0.6239598021
15	0.620766593
16	0.618068598
17	0.6152260864
18	0.6124218136
19	0.6103811218
20	0.6081367865
21	0.6053275206
22	0.6028233339
23	0.6006650928
24	0.5990682653
25	0.5971124782
26	0.5957795906
27	0.5941776647
28	0.5929014009
29	0.5908127404
30	0.5891871734
31	0.5874000026
32	0.5855734822
33	0.5845834229
34	0.5834216926
35	0.582415665
36	0.5816612594
37	0.5802375118
38	0.5785289839
39	0.5772869103
40	0.5759645785
41	0.574808311
42	0.5738975992
43	0.5726739456
44	0.5719815156
45	0.5707584922
46	0.5697005963
47	0.5689272729
48	0.5677543927
49	0.5663458263
50	0.5653653847
51	0.5642648777
52	0.5635186936
53	0.5630598815
54	0.5619937442
55	0.5610364059
56	0.5601604854
57	0.5587355345
58	0.5578283181
59	0.5573959159
60	0.5565795832
61	0.5560001996
62	0.5551406732
63	0.5542054056
64	0.5535753383
65	0.5526963537
66	0.5522394577
67	0.5515782175
68	0.5506622653
69	0.5504271865
70	0.5499316586
71	0.549425162
72	0.5488415287
73	0.5481067315
74	0.5479036241
75	0.5473188529
76	0.5465372685
77	0.5457781064
78	0.5447171047
79	0.543996135
80	0.5435802328
81	0.5429807408
82	0.5425401334
83	0.5424860964
84	0.5420663445
85	0.541634029
86	0.5412459517
87	0.5404929172
88	0.5402568856
89	0.5393837053
90	0.5391238868
91	0.5388735369
92	0.5383483325
93	0.5378982052
94	0.5372038834
95	0.5368300235
96	0.5364456469
97	0.5359708532
98	0.5353023934
99	0.5348215678
100	0.5343884902
101	0.5340290227
102	0.5337476334
103	0.5334996557
104	0.5332275716
105	0.5331540504
106	0.5329461809
107	0.5327196266
108	0.5323593893
109	0.5323366231
110	0.532142695
111	0.5319049373
112	0.5316566984
113	0.5313367718
114	0.5311196377
115	0.5309982
116	0.5308256252
117	0.530609136
118	0.5303654968
119	0.5298713385
120	0.5296862861
121	0.5295355365
122	0.5293154163
123	0.5290984192
124	0.528997061
125	0.5286924651
126	0.5285664472
127	0.5282163283
128	0.5280415995
129	0.5279201404
130	0.5277232164
131	0.5276187949
132	0.5273622842
133	0.5272471809
134	0.5270562639
135	0.5268920606
136	0.5267234602
137	0.5266496607
138	0.5265678599
139	0.526361116
140	0.52608702
141	0.5259399606
142	0.5253369395
143	0.5251152007
144	0.5250140485
145	0.5249074346
146	0.5247948903
147	0.5246020604
148	0.5244478755
149	0.5242672737
150	0.5241805821
151	0.5237617095
152	0.5236018307
153	0.5234251264
154	0.5232598266
155	0.5229815954
156	0.5228637775
157	0.5227333273
158	0.5225722649
159	0.5223569354
160	0.5218639041
161	0.5215245665
162	0.521369011
163	0.5212372613
164	0.5211384691
165	0.5211244371
166	0.5210618507
167	0.520604749
168	0.5204675393
169	0.520214595
170	0.520129396
171	0.5199768232
172	0.519930177
173	0.519851461
174	0.5198237561
175	0.5195319278
176	0.519465849
177	0.5192862114
178	0.5191184809
179	0.5189555349
180	0.5189386375
181	0.5189338566
182	0.5187337945
183	0.5186108181
184	0.518491789
185	0.518292374
186	0.5182888188
187	0.5181509898
188	0.5180479005
189	0.5178488179
190	0.5177117185
191	0.5176516473
192	0.5175972429
193	0.5175069224
194	0.5175040194
195	0.5174935892
196	0.5171466164
197	0.5169537251
198	0.5166638056
199	0.5166088959
200	0.5164278416
201	0.5162753303
202	0.5161724193
203	0.5160080982
204	0.5157260579
205	0.5156539472
206	0.5155458325
207	0.5154426986
208	0.5153055904
209	0.5152334143
210	0.5150614728
211	0.5148952093
212	0.5148330325
213	0.5147495972
214	0.5146151595
215	0.5145221506
216	0.514305768
217	0.514189621
218	0.5139904467
219	0.5138637829
220	0.5138298633
221	0.5136569099
222	0.5136568944
223	0.5134772235
224	0.5133107491
225	0.5132235144
226	0.5128929429
227	0.5128505757
228	0.5128054292
229	0.5126254173
230	0.5124775255
231	0.5121813026
232	0.5121473499
233	0.5120335177
234	0.511973428
235	0.5118282566
236	0.5117871614
237	0.5116326925
238	0.5113723854
239	0.5112062306
240	0.5111558942
241	0.5111331458
242	0.5111053028
243	0.511089459
244	0.5109075928
245	0.5107852595
246	0.510604135
247	0.5104730396
248	0.510018536
249	0.5097520265
250	0.5096842875
251	0.5095834398
252	0.5095601383
253	0.5093610812
254	0.5091933704
255	0.5091228843
256	0.5090007951
257	0.5089854334
258	0.5088893069
259	0.5086934725
260	0.5086534075
261	0.5084713875
262	0.5082720922
263	0.5081295235
264	0.5080368053
265	0.5079248493
266	0.5078253916
267	0.5076629435
268	0.5074782421
269	0.5073732892
270	0.5072846727
271	0.5071773308
272	0.5070800713
273	0.5069191937
274	0.5069045849
275	0.5067009395
276	0.5065605515
277	0.5065599346
278	0.5064700472
279	0.5064643255
280	0.5064292244
281	0.5064289514
282	0.506370912
283	0.5062356727
284	0.5061955088
285	0.5061656692
286	0.5061197681
287	0.5060721913
288	0.5059736845
289	0.505827324
290	0.5056253428
291	0.5055853058
292	0.5053455229
293	0.5053153097
294	0.5053152334
295	0.5052683929
296	0.5052683925
297	0.5052529893
298	0.5051641818
299	0.5050928367
300	0.5049755159
301	0.5049381371
302	0.5048922278
303	0.5047145306
304	0.5045018152
305	0.5044114791
306	0.5043293798
307	0.5042160183
308	0.5041083396
309	0.5040908099
310	0.5040354119
311	0.5039615114
312	0.5037711393
313	0.5037204668
314	0.503550417
315	0.5034401592
316	0.5033293702
317	0.5032770968
318	0.5030296101
319	0.5030288509
320	0.5028236412
321	0.5027433644
322	0.5026233277
323	0.5025004229
324	0.5024212308
325	0.5022477434
326	0.502207471
327	0.5021527402
328	0.5020707288
329	0.5020085071
330	0.5019137245
331	0.5018930169
332	0.5017330132
333	0.5014532733
334	0.5014409262
335	0.501376134
336	0.5012957589
337	0.5011620865
338	0.5010513323
339	0.5009571247
340	0.5008588983
341	0.5008431199
342	0.5008149782
343	0.5007596917
344	0.5007253504
345	0.5006129845
346	0.5004922676
347	0.5004427957
348	0.500239949
349	0.5001226234
350	0.499983762
351	0.4998656509
352	0.499684102
353	0.4996135761
354	0.4995645841
355	0.4994903212
356	0.4994026138
357	0.4993588384
358	0.4992074462
359	0.4991475956
360	0.4990555109
361	0.4989442416
362	0.4988599397
363	0.4986778996
364	0.4986204353
365	0.4985938588
366	0.4985396649
